Angelia Crumpler 1980 forward 87998900 1
Morgan Schumacher 1981 back 87998901 0
Fausto Horta 1982 mid 87998902 1 
Lino Mckelvey 1983 forward 87998903 1
Lesia Sargent 1984 back 87998904 1
Sharen Lima 1985 mid 87998905 1
Renita Vance 1986 forward 87998906 1
Chara Hemsley 1987 back 87998907 0
Chet Cluff 1988 mid 87998908 1
Luciana Sholtis 1989 forward 87998909 1
Mercedes Aurand 1990 back 87998910 3
Ileana Simmonds 1991 mid 87998911
Jewell Stephens 1992 forward 87998912
Gina Isaacson 1993 back 87998913
Hermelinda Higa 1994 mid 87998914
